1,Erigaisi Arjun,GM,IND,2756,2003
2,"Anand, Viswanathan",GM,IND,2751,1969
3,Praggnanandhaa R,GM,IND,2747,2005
4,Gukesh D,GM,IND,2743,2006
5,"Vidit, Santosh Gujrathi",GM,IND,2727,1994
6,"Harikrishna, Pentala",GM,IND,2701,1986
7,Nihal Sarin,GM,IND,2698,2004
8,Narayanan S L,GM,IND,2695,1998
9,"Aravindh, Chithambaram VR.",GM,IND,2662,1999
10,"Sadhwani, Raunak",GM,IND,2654,2005
11,Aryan Chopra,GM,IND,2630,2001
12,"Mendonca, Leon Luke",GM,IND,2626,2006
13,"Puranik, Abhimanyu",GM,IND,2625,2000
14,"Negi, Parimarjan",GM,IND,2612,1993
15,"Karthikeyan, Murali",GM,IND,2610,1999
16,Karthik Venkataraman,GM,IND,2609,1999
17,"Gupta, Abhijeet",GM,IND,2608,1989
18,Aditya Mittal,GM,IND,2607,2006
19,"Pranav, V",GM,IND,2604,2006
20,"Vaibhav, Suri",GM,IND,2595,1997
21,"Sethuraman, S.P.",GM,IND,2589,1993
22,"Ganguly, Surya Shekhar",GM,IND,2574,1983
23,"Sasikiran, Krishnan",GM,IND,2570,1981
24,Harsha Bharathakoti,GM,IND,2567,2000
25,Gopal G.N.,GM,IND,2564,1989
26,"Ghosh, Diptayan",GM,IND,2559,1998
27,"Koneru, Humpy",GM,IND,2546,1987
28,Bharath Subramaniyam H,GM,IND,2544,2007
29,"Adhiban, B.",GM,IND,2541,1992
30,Pranesh M,GM,IND,2538,2006
31,"Mitrabha, Guha",GM,IND,2537,2001
32,Koustav Chatterjee,GM,IND,2534,2003
33,"Narayanan, Srinath",GM,IND,2533,1994
34,Raja Rithvik R,GM,IND,2532,2004
35,Sankalp Gupta,GM,IND,2531,2003
36,Vignesh N R,GM,IND,2525,1998
37,"Grover, Sahaj",GM,IND,2519,1995
38,Pranav Anand,GM,IND,2519,2006
39,Aronyak Ghosh,IM,IND,2517,2003
40,Samant Aditya S,GM,IND,2512,2006
41,Visakh N R,GM,IND,2509,1999
42,Lalit Babu M R,GM,IND,2508,1993
43,"Das, Sayantan",GM,IND,2507,1997
44,"Dronavalli, Harika",GM,IND,2503,1991
45,"Sengupta, Deep",GM,IND,2500,1988
46,Prraneeth Vuppala,GM,IND,2499,2007
47,"Girish, A. Koushik",GM,IND,2499,1997
48,"Iniyan, Pa",GM,IND,2495,2002
49,Aaditya Dhingra,IM,IND,2495,2006
50,"Shyam, Sundar M.",GM,IND,2493,1992
51,"Chanda, Sandipan",GM,IND,2488,1983
52,"Gusain, Himal",IM,IND,2486,1993
53,Srihari L R,IM,IND,2482,2005
54,Bhattacharyya Soham,,IND,2477,2005
55,"Vaishali, Rameshbabu",IM,IND,2475,2001
56,Muthaiah AL,IM,IND,2472,1999
57,"Rathanvel, V S",IM,IND,2471,2001
58,Rohith Krishna S,IM,IND,2467,2005
59,"Gagare, Shardul",GM,IND,2467,1997
60,Neelash Saha,IM,IND,2464,2002
61,Panesar Vedant,FM,IND,2462,2003
62,Harikrishnan.A.Ra,IM,IND,2461,2001
63,Raja Harshit,GM,IND,2458,2001
64,"Swayams, Mishra",GM,IND,2456,1992
65,Rahul Srivatshav P,GM,IND,2452,2002
66,Jubin Jimmy,IM,IND,2452,2006
67,"Panchanathan, Magesh Chandran",GM,IND,2452,1983
68,Nitish Belurkar,IM,IND,2449,2001
69,Krishna C R G,IM,IND,2445,1991
70,Ilamparthi A R,IM,IND,2440,2009
71,Prithu Gupta,GM,IND,2440,2004
72,"Swapnil, S. Dhopade",GM,IND,2439,1990
73,"Stany, G.A.",GM,IND,2439,1993
74,"Ravi, Teja S.",IM,IND,2437,1993
75,Mohammad Nubairshah Shaikh,IM,IND,2435,1998
76,Harshavardhan G B,IM,IND,2433,2003
77,Deepan Chakkravarthy J.,GM,IND,2428,1987
78,Divya Deshmukh,IM,IND,2427,2005
79,Dhulipalla Bala Chandra Prasad,IM,IND,2420,1996
80,"Mehar, Chinna Reddy C.H.",IM,IND,2418,1995
81,Akash G,GM,IND,2415,1996
82,Harsh Suresh,FM,IND,2413,2007
83,Sathvik Adiga,FM,IND,2413,2011
84,"Vaz, Ethan",FM,IND,2411,2011
85,Prasanna Raghuram Rao,IM,IND,2410,1994
86,"Sharan, Rao",IM,IND,2407,2000
87,"Das, Arghyadip",IM,IND,2405,1985
88,"Sammed Jaykumar, Shete",IM,IND,2404,1999
89,Ajay Karthikeyan,IM,IND,2401,2004
90,Srihari L,,IND,2400,2004
91,Vantika Agrawal,IM,IND,2398,2002
92,Hari Madhavan N B,IM,IND,2395,2003
93,Aarav Dengla,FM,IND,2395,2009
94,Aditya Vikram Paul,FM,IND,2394,2007
95,"Bitan, Banerjee",IM,IND,2394,1993
96,Souhardo Basak,IM,IND,2393,2007
97,Shyaamnikhil P,IM,IND,2390,1992
98,Anuj Shrivatri,IM,IND,2390,2004
99,Garv Gaur,FM,IND,2388,2007
100,Audi Ameya,IM,IND,2387,1999
