1,"Zemlyanskii, Ivan",FM,RUS,2530,2010
2,"Grachev, Alexey",FM,RUS,2426,2005
3,"Tsvetkov, Andrey",IM,RUS,2423,2005
4,"Pingin, Artem",IM,RUS,2409,2008
5,"Khubukshanov, Erdem",IM,RUS,2381,2007
6,"Parpiev, Isaak",CM,RUS,2359,2009
7,"Kulaev, Maxim",,RUS,2341,2004
8,"Popov, Maksim",FM,RUS,2340,2005
9,"Volkov, Maksim",FM,RUS,2340,2008
10,"Ponomarev, Grigori",FM,RUS,2319,2006
11,"Kurchenko, Egor",FM,RUS,2306,2008
12,"Rostovtsev, Dmitry",FM,RUS,2294,2006
13,"Timoshin, Maxim",FM,RUS,2293,2007
14,"Usov, Aleksandr E.",FM,RUS,2292,2010
15,"Bazyrtsyrenov, Kirill",FM,RUS,2284,2006
16,"Pavlov, Mark",FM,RUS,2278,2006
17,"Ermakov, Maksim",,RUS,2269,2008
18,"Manelyuk, Daniil",FM,RUS,2267,2007
19,"Bobkov, Vadim",FM,RUS,2267,2004
20,"Novozhilov, Semen",FM,RUS,2265,2010
21,"Veselov, Yaroslav",,RUS,2260,2008
22,"Ponomarev, Vsevolod",,RUS,2245,2008
23,"Plyasunov, Daniil",FM,RUS,2241,2005
24,"Bardyk, Artem",CM,RUS,2238,2009
25,"Kharkevich, Stepan",,RUS,2238,2007
26,"Maslovskiy, Vladimir",,RUS,2235,2009
27,"Zakharov, Alexey O.",,RUS,2229,2007
28,"Koshulyan, Egor A.",CM,RUS,2226,2009
29,"Chuklin, Ivan",,RUS,2224,2005
30,"Khodko, Yurii N.",,RUS,2219,2008
31,"Pshmahov, Osman",,RUS,2217,2005
32,"Zhirkov, Vladislav",,RUS,2213,2007
33,"Kirillov, Dmitry",FM,RUS,2209,2005
34,"Otdelnov, Kirill",,RUS,2207,2008
35,"Rakitin, Daniil",CM,RUS,2206,2007
36,"Panin, Mikhail",CM,RUS,2204,2004
37,"Zakirov, Musa",CM,RUS,2203,2008
38,"Skatchkov, Valery",FM,RUS,2201,2004
39,"Shkuratov, Vladimir",CM,RUS,2200,2005
40,"Ter-Saakian, Grigorii",FM,RUS,2193,2004
41,"Rogov, Matfey",CM,RUS,2191,2007
42,"Ismagilov, Igor",,RUS,2186,2007
43,"Lisimenko, Ruslan",,RUS,2184,2004
44,"Dudarev, Vladislav",,RUS,2179,2007
45,"Kazmin, Semen",FM,RUS,2178,2004
46,"Kataev, Aleksandr",,RUS,2170,2005
47,"Amirdzhanyan, Vladimir",CM,RUS,2170,2008
48,"Shakirov, Marat",FM,RUS,2166,2004
49,"Mochalov, Dmitriy",,RUS,2165,2007
50,"Scheglov, Gleb",,RUS,2164,2010
51,"Efimov, Leonid",,RUS,2162,2009
52,"Nur-Mukhametova, Alisa",WIM,RUS,2156,2005
53,"Fomkin, Dmitry",,RUS,2153,2007
54,"Kuzmin, Roman",FM,RUS,2153,2006
55,"Suslov, Dmitrii",CM,RUS,2150,2008
56,"Gavrilov, Maxim",FM,RUS,2150,2008
57,"Mirzoyan, Lavrenty",,RUS,2148,2004
58,"Vershinin, Igor",,RUS,2147,2009
59,"Nazarov, Denis",,RUS,2144,2005
60,"Ismagilov, Damir",CM,RUS,2143,2004
61,"Sabirov, Timur",,RUS,2142,2005
62,"Loskutova, Viktoriya",WFM,RUS,2142,2004
63,"Zhidelev, Nikolay",,RUS,2137,2008
64,"Gasanov, Vadim",,RUS,2131,2007
65,"Kim, Andrey",,RUS,2127,2006
66,"Karmanova, Olga Dm.",WFM,RUS,2124,2007
67,"Gaydym, Arseniy",,RUS,2124,2004
68,"Levchenko, Leonid",,RUS,2122,2008
69,"Rumyantsev, Semen",,RUS,2118,2010
70,"Voskanyan, Argisht",,RUS,2118,2008
71,"Trofimov, Pavel",,RUS,2117,2006
72,"Shakhov, Dmitriy",,RUS,2116,2006
73,"Pankov, Daniil",,RUS,2116,2005
74,"Titov, Alexander",,RUS,2116,2006
75,"Bukreev, Stanislav",,RUS,2115,2010
76,"Balashov, Arseny",,RUS,2114,2005
77,"Gorlov, Artem",,RUS,2114,2004
78,"Shubenkova, Veronika",WFM,RUS,2113,2007
79,"Lvov, Nikita",,RUS,2112,2005
80,"Konstantinov, Nikita",,RUS,2111,2006
81,"Boykov, Pavel",,RUS,2111,2009
82,"Lisenkov, Svyatoslav",CM,RUS,2109,2010
83,"Alpin, Maxim",,RUS,2108,2005
84,"Sheremetev, Vladislav",,RUS,2107,2007
85,"Kleymenova, Valeria",WFM,RUS,2105,2008
86,"Golovanev, Vladimir",,RUS,2102,2006
87,"Chertkov, Maksim",CM,RUS,2099,2009
88,"Galkin, Leonid",,RUS,2098,2005
89,"Chumaevskiy, Arseniy",,RUS,2097,2006
90,"Kozlov, Denis",FM,RUS,2093,2004
91,"Titarov, Vasilii",CM,RUS,2093,2008
92,"Popov, Tikhon",,RUS,2092,2009
93,"Nekrasov, Maksim",,RUS,2092,2009
94,"Kazakov, Vadim",,RUS,2090,2006
95,"Ponomarev, Andrey A.",,RUS,2089,2007
96,"Golovchenko, Bogdan",,RUS,2087,2010
97,"Zhugin, Nikolay",,RUS,2086,2007
98,"Ivannikov, Maksim",,RUS,2083,2010
99,"Kuzminykh, Nikita",,RUS,2082,2007
100,"Mikhaylov, Artem",,RUS,2081,2007
