1,"Nepomniachtchi, Ian",GM,RUS,2773,1990
2,"Grischuk, Alexander",GM,RUS,2771,1983
3,"Artemiev, Vladislav",GM,RUS,2754,1998
4,"Kramnik, Vladimir",GM,RUS,2753,1975
5,"Karjakin, Sergey",GM,RUS,2743,1990
6,"Jakovenko, Dmitry",GM,RUS,2719,1983
7,"Tomashevsky, Evgeny",GM,RUS,2702,1987
8,"Matlakov, Maxim",GM,RUS,2692,1991
9,"Dubov, Daniil",GM,RUS,2690,1996
10,"Dreev, Aleksey",GM,RUS,2662,1969
11,"Morozevich, Alexander",GM,RUS,2656,1977
12,"Riazantsev, Alexander",GM,RUS,2653,1985
13,"Rublevsky, Sergei",GM,RUS,2652,1974
14,"Ponkratov, Pavel",GM,RUS,2649,1988
15,"Zvjaginsev, Vadim",GM,RUS,2641,1976
16,"Khismatullin, Denis",GM,RUS,2619,1984
17,"Grachev, Boris",GM,RUS,2618,1986
18,"Karpov, Anatoly",GM,RUS,2616,1951
19,"Shimanov, Aleksandr",GM,RUS,2610,1992
20,"Kokarev, Dmitry",GM,RUS,2605,1982
21,"Potkin, Vladimir",GM,RUS,2597,1982
22,"Timofeev, Artyom",GM,RUS,2593,1985
23,"Kryakvin, Dmitry",GM,RUS,2590,1984
24,"Pridorozhni, Aleksei",GM,RUS,2588,1981
25,"Maletin, Pavel",GM,RUS,2586,1986
26,"Gordievsky, Dmitry",GM,RUS,2585,1996
27,"Popov, Ivan",GM,RUS,2585,1990
28,"Sakaev, Konstantin",GM,RUS,2584,1974
29,"Turov, Maxim",GM,RUS,2584,1979
30,"Goganov, Aleksey",GM,RUS,2580,1991
31,"Savchenko, Boris",GM,RUS,2575,1986
32,"Shaposhnikov, Evgeny",GM,RUS,2575,1981
33,"Smirnov, Pavel",GM,RUS,2574,1982
34,"Volkov, Sergey",GM,RUS,2572,1974
35,"Rozum, Ivan",GM,RUS,2568,1991
36,"Bocharov, Ivan",GM,RUS,2568,1990
37,"Epishin, Vladimir",GM,RUS,2568,1965
38,"Vorobiov, Evgeny E.",GM,RUS,2565,1976
39,"Panarin, Mikhail",GM,RUS,2562,1983
40,"Mozharov, Mikhail",GM,RUS,2561,1990
41,"Shomoev, Anton",GM,RUS,2559,1981
42,"Lagno, Kateryna",GM,RUS,2554,1989
43,"Stukopin, Andrey",GM,RUS,2554,1994
44,"Sviridov, Valery",,RUS,2552,1991
45,"Rychagov, Andrey",GM,RUS,2548,1979
46,"Kharitonov, Alexandr",GM,RUS,2547,1986
47,"Tsydypov, Zhamsaran",GM,RUS,2546,1996
48,"Yemelin, Vasily",GM,RUS,2544,1976
49,"Ovetchkin, Roman",GM,RUS,2538,1973
50,"Novikov, Stanislav",GM,RUS,2535,1985
51,"Popov, Valerij",GM,RUS,2535,1974
52,"Belozerov, Andrei",GM,RUS,2533,1977
53,"Obolenskikh, Dmitry",IM,RUS,2533,1985
54,"Sorokin, Aleksey",GM,RUS,2531,2000
55,"Bocharov, Dmitry",GM,RUS,2530,1982
56,"Afanasiev, Nikita",GM,RUS,2527,2000
57,"Lintchevski, Daniil",GM,RUS,2525,1990
58,"Khanin, Semen",GM,RUS,2524,1999
59,"Moskalenko, Alexander",GM,RUS,2524,1988
60,"Belous, Vladimir",GM,RUS,2520,1993
61,"Levin, Evgeny A.",GM,RUS,2514,1990
62,"Chebotarev, Oleg",,RUS,2512,1985
63,"Moiseenko, Vadim",GM,RUS,2512,1994
64,"Danin, Alexandre",GM,RUS,2511,1986
65,"Lugovoi, Aleksei",GM,RUS,2507,1975
66,"Yudin, Sergei",GM,RUS,2507,1986
67,"Triapishko, Alexandr",IM,RUS,2506,2000
68,"Ivanov, Sergey",GM,RUS,2504,1961
69,"Chernobay, Artem",GM,RUS,2503,1989
70,"Fakhrutdinov, Timur",FM,RUS,2499,2001
71,"Dvoirys, Semen I.",GM,RUS,2497,1958
72,"Burmakin, Vladimir",GM,RUS,2495,1967
73,"Khegay, Dmitriy",GM,RUS,2493,1997
74,"Potapov, Pavel",GM,RUS,2492,1990
75,"Kornev, Alexei",GM,RUS,2490,1976
76,"Gleizerov, Evgeny",GM,RUS,2490,1963
77,"Nozdrachev, Vladislav",IM,RUS,2489,1992
78,"Yevseev, Denis",GM,RUS,2488,1973
79,"Drygalov, Sergey",GM,RUS,2485,1999
80,"Zabotin, Alexander",IM,RUS,2485,1986
81,"Drygalov, Andrey",GM,RUS,2481,1999
82,"Yanchenko, Roman",FM,RUS,2478,1996
83,"Loginov, Valery A",GM,RUS,2478,1955
84,"Dobrov, Vladimir",GM,RUS,2478,1984
85,"Ulybin, Mikhail",GM,RUS,2475,1971
86,"Iljushin, Alexei",GM,RUS,2474,1980
87,"Hasangatin, Ramil",GM,RUS,2474,1972
88,"Iskusnyh, Sergei",GM,RUS,2473,1974
89,"Zaitsev, Alexander",GM,RUS,2473,1985
90,"Krylov, Mikhail",GM,RUS,2473,1987
91,"Evdokimov, Alexander A.",GM,RUS,2472,1985
92,"Shorokhov, Alexandr",IM,RUS,2472,1987
93,"Novikov, Maxim",GM,RUS,2471,1972
94,"Balashov, Yuri S",GM,RUS,2470,1949
95,"Sek, Konstantin",,RUS,2469,1989
96,"Papin, Vasily",GM,RUS,2468,1988
97,"Zakhartsov, Vladimir",GM,RUS,2468,1997
98,"Kezin, Roman",IM,RUS,2468,1995
99,"Shukh, Nikolai",IM,RUS,2467,1991
100,"Ulanov, Alexandr",IM,RUS,2463,1993
