1,"Caruana, Fabiano",GM,USA,2819,1992
2,"Aronian, Levon",GM,USA,2763,1982
3,"So, Wesley",GM,USA,2762,1993
4,"Nakamura, Hikaru",GM,USA,2746,1987
5,"Shankland, Sam",GM,USA,2725,1991
6,"Xiong, Jeffery",GM,USA,2677,2000
7,"Kamsky, Gata",GM,USA,2676,1974
8,"Robson, Ray",GM,USA,2670,1994
9,"Bruzon Batista, Lazaro",GM,USA,2668,1982
10,"Swiercz, Dariusz",GM,USA,2667,1994
11,"Sevian, Samuel",GM,USA,2655,2000
12,"Akopian, Vladimir",GM,USA,2650,1971
13,"Onischuk, Alexander",GM,USA,2649,1975
14,"Lenderman, Aleksandr",GM,USA,2642,1989
15,"Zherebukh, Yaroslav",GM,USA,2629,1993
16,"Oparin, Grigoriy",GM,USA,2624,1997
17,"Akobian, Varuzhan",GM,USA,2624,1983
18,"Quesada Perez, Yuniesky",GM,USA,2624,1984
19,"Naroditsky, Daniel",GM,USA,2610,1995
20,"Izoria, Zviad",GM,USA,2599,1984
21,"Liang, Awonder",GM,USA,2590,2003
22,"Hess, Robert",GM,USA,2581,1991
23,"Erenburg, Sergey",GM,USA,2574,1983
24,"Corrales Jimenez, Fidel",GM,USA,2563,1987
25,"Friedel, Joshua",GM,USA,2552,1986
26,"Burke, John M",GM,USA,2550,2001
27,"Holt, Conrad",GM,USA,2548,1993
28,"Li, Ruifeng",GM,USA,2546,2001
29,"Moradiabadi, Elshan",GM,USA,2545,1985
30,"Kaidanov, Gregory",GM,USA,2544,1959
31,"Brown, Michael",GM,USA,2529,1997
32,"Benjamin, Joel",GM,USA,2523,1964
33,"Chandra, Akshat",GM,USA,2522,1999
34,"Ehlvest, Jaan",GM,USA,2521,1962
35,"Stripunsky, Alexander",GM,USA,2520,1970
36,"Arnold, Marc",GM,USA,2517,1992
37,"Shabalov, Alexander",GM,USA,2510,1967
38,"Khachiyan, Melikset",GM,USA,2509,1970
39,"Yermolinsky, Alex",GM,USA,2508,1958
40,"Becerra Rivero, Julio",GM,USA,2506,1973
41,"Checa, Nicolas",GM,USA,2506,2001
42,"Hungaski, Robert",GM,USA,2505,1987
43,"Zierk, Steven",GM,USA,2504,1993
44,"Tang, Andrew",GM,USA,2501,1999
45,"Perelshteyn, Eugene",GM,USA,2494,1980
46,"Jacobson, Brandon",GM,USA,2492,2003
47,"Finegold, Benjamin",GM,USA,2487,1969
48,"Kraai, Jesse",GM,USA,2484,1972
49,"Fernandez, Daniel",GM,USA,2482,1985
50,"Yang, Darwin",GM,USA,2481,1996
51,"Niemann, Hans Moke",GM,USA,2477,2003
52,"Patel, Advait",IM,USA,2471,2002
53,"Orlov, Georgi",IM,USA,2466,1964
54,"Ivanov, Alexander",GM,USA,2464,1956
55,"Fishbein, Alexander",GM,USA,2456,1968
56,"Gurevich, Daniel",IM,USA,2452,1997
57,"Krush, Irina",GM,USA,2451,1983
58,"Sheng, Joshua",GM,USA,2451,2000
59,"Kudrin, Sergey",GM,USA,2450,1959
60,"Gonzalez, Renier",GM,USA,2447,1972
61,"Molner, Mackenzie",GM,USA,2447,1988
62,"Katz, Alexander",IM,USA,2444,1996
63,"Bartholomew, John",IM,USA,2439,1986
64,"Bryant, John Daniel",IM,USA,2438,1991
65,"Schmakel, Sam",IM,USA,2437,1996
66,"Ostrovskiy, Aleksandr",IM,USA,2436,1996
67,"Nagle, Sean",IM,USA,2434,1982
68,"Hilby, Craig",IM,USA,2433,2000
69,"Smith, Bryan",GM,USA,2432,1980
70,"Sevillano, Enrico",GM,USA,2430,1968
71,"Sturt, Raven",GM,USA,2429,1993
72,"Balakrishnan, Praveen",GM,USA,2428,2002
73,"Tokhirjonova, Gulrukhbegim",WGM,USA,2427,1999
74,"Zatonskih, Anna",IM,USA,2424,1978
75,"Wang, Justin",IM,USA,2421,2005
76,"Harmon-Vellotti, Luke",IM,USA,2421,1998
77,"Norowitz, Yaacov",IM,USA,2420,1982
78,"Shetty, Atulya",IM,USA,2420,1996
79,"Fedorowicz, John",GM,USA,2420,1958
80,"Shen, Victor",IM,USA,2417,1993
81,"Brodsky, David",GM,USA,2417,2002
82,"Kavutskiy, Konstantin",IM,USA,2417,1992
83,"Wang, Kevin",IM,USA,2416,1997
84,"Brattain, Mika",,USA,2415,1998
85,"Yoo, Christopher Woojin",GM,USA,2414,2006
86,"Hong, Andrew",GM,USA,2414,2004
87,"Donaldson, John",IM,USA,2412,1958
88,"Santarius, Erik",IM,USA,2411,1987
89,"Li, George",IM,USA,2406,2000
90,"Larson, Matthew",IM,USA,2403,1997
91,"Lee, Michael",IM,USA,2402,1993
92,"Chandran, Kapil",IM,USA,2402,1998
93,"Gurevich, Dmitry",GM,USA,2401,1956
94,"Banawa, Joel",IM,USA,2396,1989
95,"Bora, Safal",IM,USA,2395,1998
96,"Bodek, Michael",IM,USA,2395,1997
97,"Liou, Yian",IM,USA,2393,1997
98,"Lapshun, Yury",IM,USA,2392,1972
99,"Wang, Philip",IM,USA,2388,1983
100,"Song, Edward",IM,USA,2387,1999
