1,"Xiong, Jeffery",GM,USA,2677,2000
2,"Sevian, Samuel",GM,USA,2655,2000
3,"Liang, Awonder",GM,USA,2590,2003
4,"Burke, John M",GM,USA,2550,2001
5,"Li, Ruifeng",GM,USA,2546,2001
6,"Chandra, Akshat",GM,USA,2522,1999
7,"Checa, Nicolas",GM,USA,2506,2001
8,"Tang, Andrew",GM,USA,2501,1999
9,"Jacobson, Brandon",GM,USA,2492,2003
10,"Niemann, Hans Moke",GM,USA,2477,2003
11,"Patel, Advait",IM,USA,2471,2002
12,"Sheng, Joshua",GM,USA,2451,2000
13,"Hilby, Craig",IM,USA,2433,2000
14,"Balakrishnan, Praveen",GM,USA,2428,2002
15,"Tokhirjonova, Gulrukhbegim",WGM,USA,2427,1999
16,"Wang, Justin",IM,USA,2421,2005
17,"Brodsky, David",GM,USA,2417,2002
18,"Yoo, Christopher Woojin",GM,USA,2414,2006
19,"Hong, Andrew",GM,USA,2414,2004
20,"Li, George",IM,USA,2406,2000
21,"Song, Edward",IM,USA,2387,1999
22,"Wheeler, Cameron",IM,USA,2383,2000
23,"Panchanatham, Vignesh",IM,USA,2382,2000
24,"Li, Ben",IM,USA,2377,2002
25,"Ludwig, John",IM,USA,2377,2000
26,"Bick, Gabriel James Koop",IM,USA,2374,1999
27,"Tiglon, Bryce",IM,USA,2373,2000
28,"Feng, Roland",FM,USA,2342,2000
29,"Bian, Alex",FM,USA,2342,2000
30,"Chen, Justin",FM,USA,2340,2003
31,"Jirasek, Ladia",IM,USA,2332,2000
32,"Ke, Ivan",,USA,2332,2003
33,"Jacobson, Aaron",IM,USA,2330,1999
34,"Banik, Siddharth",,USA,2328,2000
35,"Taghizadeh, Rayan",FM,USA,2327,2002
36,"Posthuma, Joshua",IM,USA,2327,2000
37,"Daggupati, Balaji",GM,USA,2326,2005
38,"Kim, Yoon-Young",FM,USA,2320,2001
39,"Wang, Wesley",FM,USA,2318,2004
40,"He, Anthony",IM,USA,2310,2005
41,"Wang, Annie",IM,USA,2307,2002
42,"Huang, Andy",FM,USA,2307,2004
43,"Asaria, Danial",IM,USA,2304,2001
44,"Morefield, Jason",FM,USA,2300,2003
45,"Wang, Jason",IM,USA,2299,2006
46,"Costello, Alexander",IM,USA,2297,2003
47,"Peng, Shunkai",FM,USA,2297,2004
48,"Peng, David",FM,USA,2297,2003
49,"Yip, Carissa",IM,USA,2292,2003
50,"Lehmann, Spencer",FM,USA,2289,1999
51,"Stearman, Josiah",IM,USA,2280,2003
52,"Der Manuelian, Haik",FM,USA,2278,1999
53,"Kolay, Alex",FM,USA,2274,2005
54,"Kumar, Nikhil",IM,USA,2273,2004
55,"Yu, Jennifer",FM,USA,2273,2002
56,"Gorti, Akshita",FM,USA,2272,2002
57,"Furfine, Jacob",FM,USA,2272,2001
58,"Guo, Arthur",GM,USA,2272,2006
59,"Shen, Christopher",FM,USA,2271,2004
60,"Liu, Bovey",,USA,2270,2001
61,"Sinha, Sahil",IM,USA,2265,2000
62,"Lin, Dachey",FM,USA,2258,1999
63,"Mishra, Abhimanyu",GM,USA,2246,2009
64,"Kumar, Aravind",FM,USA,2242,2002
65,"Cervantes Landeiro, Thalia",FM,USA,2235,2002
66,"Eswaran, Ashritha",FM,USA,2234,2000
67,"Li, Ethan",FM,USA,2234,2000
68,"Sam, Gabriel",,USA,2227,2002
69,"Baker, Vincent",,USA,2221,2003
70,"Tsay, Vincent",FM,USA,2221,2005
71,"Shlyakhtenko, Robert",IM,USA,2216,2005
72,"Nakada, Akira",FM,USA,2216,2003
73,"Liang, Jason",IM,USA,2212,2007
74,"Paciorkowski, Lev",,USA,2210,1999
75,"Paul, Justin",FM,USA,2210,2003
76,"Ghazarian, Kirk",IM,USA,2209,2006
77,"Chasin, Nico",IM,USA,2208,2006
78,"Polgar-Shutzman, Tom",,USA,2208,1999
79,"Balleisen, Aaron",,USA,2203,1999
80,"Stevens, Matthew",FM,USA,2203,2001
81,"Talyansky, Seth",CM,USA,2202,2001
82,"Feng, Maggie",FM,USA,2199,2000
83,"Sowa, Ryan",,USA,2198,2001
84,"Wu, Rochelle",FM,USA,2197,2006
85,"Turgut, Aydin",FM,USA,2195,2004
86,"Lynch, Joshua",,USA,2195,2001
87,"Zeltsan, Joseph",,USA,2195,2002
88,"Vivekananthan, Anish",IM,USA,2193,2004
89,"Wan, Joseph",CM,USA,2193,2001
90,"Ghatti, Sanjay",IM,USA,2190,2000
91,"Chen, Forest",CM,USA,2190,2002
92,"Cremisi, Daniel",,USA,2188,1999
93,"Yang, Kevin",,USA,2186,2003
94,"Nagarajan, Pranav",,USA,2182,1999
95,"Kung, Thomas",,USA,2182,2003
96,"Wu, Logan",,USA,2179,2005
97,"Zheng, Andrew",,USA,2179,2002
98,"Chiang, Jonathan",FM,USA,2177,2000
99,"Narayanan, Samrug",FM,USA,2172,2004
100,"Zhou, Ziwen",,USA,2172,2000
