1,"Caruana, Fabiano",GM,USA,2803,1992
2,"Nakamura, Hikaru",GM,USA,2789,1987
3,"So, Wesley",GM,USA,2757,1993
4,"Dominguez Perez, Leinier",GM,USA,2748,1983
5,"Aronian, Levon",GM,USA,2729,1982
6,"Sevian, Samuel",GM,USA,2698,2000
7,"Robson, Ray",GM,USA,2695,1994
8,"Niemann, Hans Moke",GM,USA,2676,2003
9,"Shankland, Sam",GM,USA,2671,1991
10,"Oparin, Grigoriy",GM,USA,2670,1997
11,"Xiong, Jeffery",GM,USA,2646,2000
12,"Liang, Awonder",GM,USA,2642,2003
13,"Mishra, Abhimanyu",GM,USA,2626,2009
14,"Zherebukh, Yaroslav",GM,USA,2620,1993
15,"Naroditsky, Daniel",GM,USA,2619,1995
16,"Swiercz, Dariusz",GM,USA,2612,1994
17,"Kamsky, Gata",GM,USA,2610,1974
18,"Bruzon Batista, Lazaro",GM,USA,2597,1982
19,"Quesada Perez, Yuniesky",GM,USA,2591,1984
20,"Akopian, Vladimir",GM,USA,2586,1971
21,"Yoo, Christopher Woojin",GM,USA,2583,2006
22,"Jacobson, Brandon",GM,USA,2575,2003
23,"Burke, John M",GM,USA,2574,2001
24,"Akobian, Varuzhan",GM,USA,2571,1983
25,"Kaidanov, Gregory",GM,USA,2550,1959
26,"Corrales Jimenez, Fidel",GM,USA,2545,1987
27,"Li, Ruifeng",GM,USA,2545,2001
28,"Hong, Andrew",GM,USA,2542,2004
29,"Wolff, Patrick",GM,USA,2531,1968
30,"Guo, Arthur",GM,USA,2529,2006
31,"He, Anthony",IM,USA,2529,2005
32,"Ehlvest, Jaan",GM,USA,2528,1962
33,"Erenburg, Sergey",GM,USA,2527,1983
34,"Lenderman, Aleksandr",GM,USA,2518,1989
35,"Woodward, Andy",IM,USA,2515,2010
36,"Brodsky, David",GM,USA,2515,2002
37,"Dlugy, Maxim",GM,USA,2514,1966
38,"Moradiabadi, Elshan",GM,USA,2511,1985
39,"Novikov, Igor",GM,USA,2509,1962
40,"Tiglon, Bryce",IM,USA,2509,2000
41,"Perelshteyn, Eugene",GM,USA,2507,1980
42,"Wang, Justin",IM,USA,2504,2005
43,"Tang, Andrew",GM,USA,2502,1999
44,"Balakrishnan, Praveen",GM,USA,2500,2002
45,"Bora, Safal",IM,USA,2490,1998
46,"Daggupati, Balaji",GM,USA,2490,2005
47,"Benjamin, Joel",GM,USA,2490,1964
48,"Chandra, Akshat",GM,USA,2489,1999
49,"Troff, Kayden",GM,USA,2487,1998
50,"Zierk, Steven",GM,USA,2487,1993
51,"Hernandez Carmenate, Holden",GM,USA,2479,1984
52,"Mardov, Dimitar",IM,USA,2473,2008
53,"Hungaski, Robert",GM,USA,2471,1987
54,"Molner, Mackenzie",GM,USA,2468,1988
55,"Shabalov, Alexander",GM,USA,2467,1967
56,"Sheng, Joshua",GM,USA,2463,2000
57,"Root, Douglas",IM,USA,2463,1963
58,"Stearman, Josiah",IM,USA,2462,2003
59,"Sturt, Raven",GM,USA,2459,1993
60,"Schmakel, Sam",IM,USA,2457,1996
61,"Hardaway, Brewington",FM,USA,2455,2009
62,"Ghazarian, Kirk",IM,USA,2454,2006
63,"Patel, Advait",IM,USA,2453,2002
64,"Posthuma, Joshua",IM,USA,2449,2000
65,"Chasin, Nico",IM,USA,2446,2006
66,"Orlov, Georgi",IM,USA,2446,1964
67,"De Firmian, Nick",GM,USA,2445,1957
68,"Wang, Jason",IM,USA,2443,2006
69,"Heimann, Mark",IM,USA,2435,1993
70,"Jacobson, Aaron",IM,USA,2431,1999
71,"Khachiyan, Melikset",GM,USA,2430,1970
72,"Vidyarthi, Vyom",IM,USA,2428,2007
73,"Fernandez, Daniel",GM,USA,2424,1985
74,"Katz, Alexander",IM,USA,2423,1996
75,"Yermolinsky, Alex",GM,USA,2421,1958
76,"Zeltsan, Joseph",,USA,2418,2002
77,"Ivanov, Alexander",GM,USA,2416,1956
78,"Krush, Irina",GM,USA,2415,1983
79,"Nakada, Akira",FM,USA,2414,2003
80,"Banawa, Joel",IM,USA,2414,1989
81,"Liang, Jason",IM,USA,2412,2007
82,"Becerra Rivero, Julio",GM,USA,2412,1973
83,"Ostrovskiy, Aleksandr",IM,USA,2411,1996
84,"Bryant, John Daniel",IM,USA,2409,1991
85,"Vivekananthan, Anish",IM,USA,2409,2004
86,"Rorrer, Grayson",FM,USA,2409,2005
87,"Nagle, Sean",IM,USA,2404,1982
88,"Yip, Carissa",IM,USA,2402,2003
89,"Zhou, Liran",IM,USA,2401,2008
90,"Huston, Gus",IM,USA,2401,2005
91,"Hilby, Craig",IM,USA,2401,2000
92,"Smith, Bryan",GM,USA,2398,1980
93,"Liu, Eric",FM,USA,2388,2009
94,"Velikanov, Alexander",IM,USA,2387,1997
95,"Shlyakhtenko, Robert",IM,USA,2384,2005
96,"Lu, Maximillian",IM,USA,2383,2005
97,"Li, George",IM,USA,2382,2000
98,"Fishbein, Alexander",GM,USA,2381,1968
99,"Deviprasath, Sharvesh",FM,USA,2381,2006
100,"Ngo, Bach",IM,USA,2376,2008
