1,"Carlsen, Magnus",NOR,2830, ,1990,2842 (1)
2,"Caruana, Fabiano",USA,2803, ,1992,2780 (4)
3,"Nakamura, Hikaru",USA,2789, ,1987,2779 (5)
4,"Abdusattorov, Nodirbek",UZB,2765, ,2004,2726 (22)
5,"Ding, Liren",CHN,2762, ,1992,2783 (2)
6,"Firouzja, Alireza",FRA,2760, ,2003,2778 (6)
7,"Nepomniachtchi, Ian",RUS,2758, ,1990,2781 (3)
8,"So, Wesley",USA,2757, ,1993,2760 (8)
9,Erigaisi Arjun,IND,2756, ,2003,2710 (30)
10,"Wei, Yi",CHN,2755, ,1999,2726 (23)
11,"Anand, Viswanathan",IND,2751, ,1969,2753 (9)
12,"Karjakin, Sergey",RUS,2750, ,1990,2749 (10)
13,"Dominguez Perez, Leinier",USA,2748, ,1983,2743 (12)
14,Praggnanandhaa R,IND,2747, ,2005,2711 (29)
15,"Giri, Anish",NED,2745, ,1994,2765 (7)
16,Gukesh D,IND,2743, ,2006,2737 (16)
17,"Mamedyarov, Shakhriyar",AZE,2733, ,1985,2736 (17)
18,"Maghsoodloo, Parham",IRI,2732, ,2000,2724 (26)
19,"Vachier-Lagrave, Maxime",FRA,2732, ,1990,2736 (18)
20,"Duda, Jan-Krzysztof",POL,2731, ,1998,2729 (20)
21,"Le, Quang Liem",VIE,2731, ,1991,2731 (19)
22,"Aronian, Levon",USA,2729, ,1982,2738 (14)
23,"Grischuk, Alexander",RUS,2728, ,1983,2737 (15)
24,"Yu, Yangyi",CHN,2728, ,1994,2725 (25)
25,"Vidit, Santosh Gujrathi",IND,2727, ,1994,2725 (24)
26,"Topalov, Veselin",BUL,2727, ,1975,2727 (21)
27,"Keymer, Vincent",GER,2726, ,2004,2709 (31)
28,"Radjabov, Teimour",AZE,2723, ,1987,2743 (13)
29,"Rapport, Richard",ROU,2719, ,1996,2744 (11)
30,"Tabatabaei, M. Amin",IRI,2707, ,2001,2686 (48)
31,"Dubov, Daniil",RUS,2707, ,1996,2711 (28)
32,"Eljanov, Pavel",UKR,2706, ,1983,2699 (37)
33,"Artemiev, Vladislav",RUS,2705, ,1998,2702 (35)
34,"Esipenko, Andrey",FID,2703, ,2002,2684 (51)
35,"Sarana, Alexey",SRB,2703, ,2000,2682 (55)
36,"Wang, Hao",CHN,2702, ,1989,2708 (32)
37,"Harikrishna, Pentala",IND,2701, ,1986,2707 (33)
38,"Sevian, Samuel",USA,2698, ,2000,2693 (41)
39,Nihal Sarin,IND,2698, ,2004,2684 (53)
40,"Robson, Ray",USA,2695, ,1994,2698 (38)
41,Narayanan S L,IND,2695, ,1998,2664 (75)
42,"Deac, Bogdan-Daniel",ROU,2692, ,2001,2697 (39)
43,"Fedoseev, Vladimir",SLO,2690, ,1995,2679 (57)
44,"Sjugirov, Sanan",HUN,2689, ,1993,2705 (34)
45,"Svidler, Peter",FID,2689, ,1976,2687 (46)
46,"Vitiugov, Nikita",ENG,2688, ,1987,2716 (27)
47,"Bacrot, Etienne",FRA,2686, ,1983,2667 (68)
